Action,Best profit,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-09-16-21-49,1.042%,TP50,7,5,2,1000,60,5,2,0,3,"['TP30', 'TP50']","range(1, 41, 2)","[1, 2, 5]","range(1, 6)","range(1000, 4000, 1000)","range(60, 100, 10)"
2025-06-15-16-58-53,2.671%,TP100,9,5,1,1500,30,5,1,0,4,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-12-43-34,2.671%,TP100,9,5,1,1500,30,5,1,0,4,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-25-33,1.98%,TP100,9,5,1,500,30,2,2,0,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-45-33,1.98%,100,9,5,1,500,30,2,2,0,0,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-16-42-42,1.98%,100,9,5,1,500,30,2,2,0,0,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-33-26,1.98%,100,9,5,1,500,30,2,2,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-26-21,1.98%,100,9,5,1,1000,30,2,2,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-50-28,1.98%,100,9,5,1,1000,30,2,2,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
